"Entry"	"Entry.name"	"Status"	"Protein.names"	"Gene.names"	"Organism"	"Length"
"A0A0D9QUN2"	"A0A0D9QUN2_CHLSB"	"unreviewed"	"CID domain-containing protein"	"PCF11"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1555"
"A0A0D9QV80"	"A0A0D9QV80_CHLSB"	"unreviewed"	"RHO family interacting cell polarization regulator 1"	"RIPOR1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1218"
"A0A0D9QVJ9"	"A0A0D9QVJ9_CHLSB"	"unreviewed"	"Nucleosome assembly protein 1 like 1"	"NAP1L1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"373"
"A0A0D9RE92"	"A0A0D9RE92_CHLSB"	"unreviewed"	"RAB6B, member RAS oncogene family"	"RAB6B"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"208"
"A0A0D9QVC9"	"A0A0D9QVC9_CHLSB"	"unreviewed"	"Protein phosphatase 1 regulatory subunit"	"PPP1R12A"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"942"
"A0A0D9QVD5"	"A0A0D9QVD5_CHLSB"	"unreviewed"	"Pro-apoptotic WT1 regulator"	"PAWR"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"340"
"A0A0D9QUY7"	"A0A0D9QUY7_CHLSB"	"unreviewed"	"La ribonucleoprotein domain family member 7 (La-related protein 7)"	"LARP7"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"581"
"A0A0D9QVE6"	"A0A0D9QVE6_CHLSB"	"unreviewed"	"Hydroxyacyl-CoA dehydrogenase"	"HADH"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"314"
"A0A0D9QUJ2"	"A0A0D9QUJ2_CHLSB"	"unreviewed"	"ENTH domain-containing protein"	"PICALM"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"660"
"A0A0D9QUP4"	"A0A0D9QUP4_CHLSB"	"unreviewed"	"Annexin"	"ANXA5"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"320"
"A0A0D9QUX2"	"A0A0D9QUX2_CHLSB"	"unreviewed"	"Centrosomal protein 290"	"CEP290"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"2513"
"A0A0D9QVC3"	"A0A0D9QVC3_CHLSB"	"unreviewed"	"Heterogeneous nuclear ribonucleoprotein L"	"HNRNPL"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"589"
"A0A0D9QVK4"	"A0A0D9QVK4_CHLSB"	"unreviewed"	"3-hydroxybutyrate dehydrogenase 2"	"BDH2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"230"
"A0A0D9QV68"	"A0A0D9QV68_CHLSB"	"unreviewed"	"DEAD-box helicase 42"	"DDX42"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"942"
"A0A0D9QVS7"	"A0A0D9QVS7_CHLSB"	"unreviewed"	"Protein kinase C (EC 2.7.11.13)"	"PRKCA"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"620"
"A0A0D9QV84"	"A0A0D9QV84_CHLSB"	"unreviewed"	"Collagen-binding protein (Serpin H1)"	"SERPINH1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"418"
"A0A0D9QV99"	"A0A0D9QV99_CHLSB"	"unreviewed"	"Proteasome 26S subunit, ATPase 5"	"PSMC5"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"406"
"A0A0D9QVI6"	"A0A0D9QVI6_CHLSB"	"unreviewed"	"DEAD box protein 5 (EC 3.6.4.13) (Probable ATP-dependent RNA helicase DDX5)"	"DDX5"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"614"
"A0A0D9QUI8"	"A0A0D9QUI8_CHLSB"	"unreviewed"	"Glycylpeptide N-tetradecanoyltransferase (EC 2.3.1.97)"	"NMT1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"496"
"A0A0D9QVF5"	"A0A0D9QVF5_CHLSB"	"unreviewed"	"Aminoacyl tRNA synthetase complex interacting multifunctional protein 1"	"AIMP1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"411"
"A0A0D9QVF0"	"A0A0D9QVF0_CHLSB"	"unreviewed"	"3'-phosphoadenosine-5'-phosphosulfate synthase (EC 2.7.1.25) (EC 2.7.7.4) (APS kinase) (ATP-sulfurylase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylyl-sulfate kinase) (Adenylylsulfate 3'-phosphotransferase) (Sulfate adenylyltransferase)"	"PAPSS1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"624"
"A0A0D9QUP1"	"A0A0D9QUP1_CHLSB"	"unreviewed"	"UBC core domain-containing protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"199"
"A0A0D9QVW4"	"A0A0D9QVW4_CHLSB"	"unreviewed"	"WD repeat domain 87"	"WDR87"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"2922"
"A0A0D9QVU1"	"A0A0D9QVU1_CHLSB"	"unreviewed"	"Eukaryotic translation initiation factor 4E"	"EIF4E"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"217"
"A0A0D9QV00"	"A0A0D9QV00_CHLSB"	"unreviewed"	"Transcription elongation factor SPT5"	"SUPT5H"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1087"
"A0A0D9QXE8"	"A0A0D9QXE8_CHLSB"	"unreviewed"	"Small ubiquitin-related modifier (SUMO)"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"95"
"A0A0D9QXC7"	"A0A0D9QXC7_CHLSB"	"unreviewed"	"General vesicular transport factor p115"	"USO1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"969"
"A0A0D9QW47"	"A0A0D9QW47_CHLSB"	"unreviewed"	"Cleavage and polyadenylation specificity factor subunit 6"	"CPSF6"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"588"
"A0A0D9QWF6"	"A0A0D9QWF6_CHLSB"	"unreviewed"	"Integrin-linked protein kinase"	"ILK"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"452"
"A0A0D9QWR4"	"A0A0D9QWR4_CHLSB"	"unreviewed"	"Heterogeneous nuclear ribonucleoprotein D"	"HNRNPD"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"355"
"A0A0D9QXT5"	"A0A0D9QXT5_CHLSB"	"unreviewed"	"Galactokinase 1"	"GALK1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"338"
"A0A0D9QXF2"	"A0A0D9QXF2_CHLSB"	"unreviewed"	"Coatomer subunit beta (Beta-coat protein)"	"COPB1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"953"
"A0A0D9QXT6"	"A0A0D9QXT6_CHLSB"	"unreviewed"	"MOB kinase activator 1B"	"MOB1B"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"221"
"A0A0D9QX96"	"A0A0D9QX96_CHLSB"	"unreviewed"	"LSM14A mRNA processing body assembly factor"	"LSM14A"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"388"
"A0A0D9QXT8"	"A0A0D9QXT8_CHLSB"	"unreviewed"	"G-rich RNA sequence binding factor 1"	"GRSF1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"479"
"A0A0D9QW63"	"A0A0D9QW63_CHLSB"	"unreviewed"	"Calcium-activated neutral proteinase small subunit (Calcium-dependent protease small subunit) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit) (Calpain small subunit 1)"	"CAPNS1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"266"
"A0A0D9QWF7"	"A0A0D9QWF7_CHLSB"	"unreviewed"	"Cullin associated and neddylation dissociated 1"	"CAND1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1230"
"A0A0D9QWZ1"	"A0A0D9QWZ1_CHLSB"	"unreviewed"	"BUB3 mitotic checkpoint protein"	"BUB3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"293"
"A0A0D9QXH3"	"A0A0D9QXH3_CHLSB"	"unreviewed"	"TIA1 cytotoxic granule associated RNA binding protein like 1"	"TIAL1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"375"
"A0A0D9QWV1"	"A0A0D9QWV1_CHLSB"	"unreviewed"	"Uncharacterized protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"386"
"A0A0D9QWT3"	"A0A0D9QWT3_CHLSB"	"unreviewed"	"Importin N-terminal domain-containing protein"	"IPO7"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1038"
"A0A0D9QVX5"	"A0A0D9QVX5_CHLSB"	"unreviewed"	"RNA-binding protein NOB1"	"NOB1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"412"
"A0A0D9QW77"	"A0A0D9QW77_CHLSB"	"unreviewed"	"IST1 homolog"	"IST1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"364"
"A0A0D9QWH4"	"A0A0D9QWH4_CHLSB"	"unreviewed"	"Splicing factor 3b subunit 3"	"SF3B3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1217"
"A0A0D9QVX0"	"A0A0D9QVX0_CHLSB"	"unreviewed"	"PDZ and LIM domain 5"	"PDLIM5"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"546"
"A0A0D9QW15"	"A0A0D9QW15_CHLSB"	"unreviewed"	"Importin subunit alpha"	"KPNA2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"529"
"A0A0D9QXP9"	"A0A0D9QXP9_CHLSB"	"unreviewed"	"Albumin"	"ALB"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"512"
"A0A0D9QXL3"	"A0A0D9QXL3_CHLSB"	"unreviewed"	"Cilia and flagella associated protein 20"	"CFAP20"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"193"
"A0A0D9QW69"	"A0A0D9QW69_CHLSB"	"unreviewed"	"Ribonucleoside-diphosphate reductase (EC 1.17.4.1)"	"RRM1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"792"
"A0A0D9QWR2"	"A0A0D9QWR2_CHLSB"	"unreviewed"	"RNA helicase (EC 3.6.4.13)"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"478"
"A0A0D9QXK1"	"A0A0D9QXK1_CHLSB"	"unreviewed"	"40S ribosomal protein S13"	"RPS13"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"140"
"A0A0D9QW30"	"A0A0D9QW30_CHLSB"	"unreviewed"	"RNA helicase (EC 3.6.4.13)"	"DHX38"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1227"
"A0A0D9QWR3"	"A0A0D9QWR3_CHLSB"	"unreviewed"	"Heterogeneous nuclear ribonucleoprotein D like"	"HNRNPDL"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"420"
"A0A0D9QWP9"	"A0A0D9QWP9_CHLSB"	"unreviewed"	"60S ribosomal protein L27a"	"RPL27A"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"148"
"A0A0D9QXG4"	"A0A0D9QXG4_CHLSB"	"unreviewed"	"CCR4-NOT transcription complex subunit 1"	"CNOT1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"2376"
"A0A0D9QXD5"	"A0A0D9QXD5_CHLSB"	"unreviewed"	"G3BP stress granule assembly factor 2"	"G3BP2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"449"
"A0A0D9QVY1"	"A0A0D9QVY1_CHLSB"	"unreviewed"	"Proteasome 26S subunit, non-ATPase 12"	"PSMD12"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"456"
"A0A0D9QXD3"	"A0A0D9QXD3_CHLSB"	"unreviewed"	"Aspartate aminotransferase (EC 2.6.1.1)"	"GOT2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"430"
"A0A0D9QX35"	"A0A0D9QX35_CHLSB"	"unreviewed"	"Septin 11"	"SEPTIN11"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"429"
"A0A0D9QX70"	"A0A0D9QX70_CHLSB"	"unreviewed"	"NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)"	"FDXR"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"491"
"A0A0D9QXG7"	"A0A0D9QXG7_CHLSB"	"unreviewed"	"Mitochondrial ribosomal protein S7"	"MRPS7"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"242"
"A0A0D9QW79"	"A0A0D9QW79_CHLSB"	"unreviewed"	"Hemoglobin subunit beta"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"147"
"A0A0D9QWM7"	"A0A0D9QWM7_CHLSB"	"unreviewed"	"Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)"	"EIF3F EIF3S5"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"361"
"A0A0D9QWM0"	"A0A0D9QWM0_CHLSB"	"unreviewed"	"Glutaredoxin 3"	"GLRX3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"335"
"A0A0D9QW17"	"A0A0D9QW17_CHLSB"	"unreviewed"	"Uncharacterized protein"	"NUMA1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"2118"
"A0A0D9QXI2"	"A0A0D9QXI2_CHLSB"	"unreviewed"	"Phosphatidylinositol-5-phosphate 4-kinase type 2 gamma"	"PIP4K2C"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"421"
"A0A0D9QWV0"	"A0A0D9QWV0_CHLSB"	"unreviewed"	"Annexin"	"ANXA3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"323"
"A0A0D9SDP1"	"A0A0D9SDP1_CHLSB"	"unreviewed"	"Histone H3"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"136"
"A0A0D9QW83"	"A0A0D9QW83_CHLSB"	"unreviewed"	"AP-1 complex subunit gamma"	"AP1G1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"822"
"A0A0D9QX21"	"A0A0D9QX21_CHLSB"	"unreviewed"	"Uncharacterized protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"289"
"A0A0D9QW25"	"A0A0D9QW25_CHLSB"	"unreviewed"	"CCT-beta (T-complex protein 1 subunit beta)"	"CCT2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"535"
"A0A0D9QW67"	"A0A0D9QW67_CHLSB"	"unreviewed"	"Tubulin folding cofactor B"	"TBCB"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"244"
"A0A0D9QX89"	"A0A0D9QX89_CHLSB"	"unreviewed"	"Glucose-6-phosphate isomerase (EC 5.3.1.9)"	"GPI"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"600"
"A0A0D9QXL4"	"A0A0D9QXL4_CHLSB"	"unreviewed"	"Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta)"	"EIF3A EIF3S10"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1225"
"A0A0D9QX32"	"A0A0D9QX32_CHLSB"	"unreviewed"	"Eukaryotic translation initiation factor 4 gamma 2"	"EIF4G2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"980"
"A0A0D9QZ01"	"A0A0D9QZ01_CHLSB"	"unreviewed"	"UPF1 RNA helicase and ATPase"	"UPF1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1118"
"A0A0D9QZW8"	"A0A0D9QZW8_CHLSB"	"unreviewed"	"Keratin 3"	"KRT3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"643"
"A0A0D9QYV0"	"A0A0D9QYV0_CHLSB"	"unreviewed"	"RNA-binding protein with serine-rich domain 1"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"298"
"A0A0D9QXZ5"	"A0A0D9QXZ5_CHLSB"	"unreviewed"	"Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog)"	"CIAPIN1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"312"
"A0A0D9QZL8"	"A0A0D9QZL8_CHLSB"	"unreviewed"	"Uncharacterized protein"	"API5"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"524"
"A0A0D9QYV7"	"A0A0D9QYV7_CHLSB"	"unreviewed"	"Extended synaptotagmin 1"	"ESYT1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1104"
"A0A0D9QZI2"	"A0A0D9QZI2_CHLSB"	"unreviewed"	"Coiled-coil domain containing 124"	"CCDC124"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"223"
"A0A0D9QYI4"	"A0A0D9QYI4_CHLSB"	"unreviewed"	"Nebulin related anchoring protein"	"NRAP"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1042"
"A0A0D9QZD8"	"A0A0D9QZD8_CHLSB"	"unreviewed"	"Actin related protein 1A"	"ACTR1A"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"376"
"A0A0D9QZF1"	"A0A0D9QZF1_CHLSB"	"unreviewed"	"Helix-destabilizing protein (hnRNP core protein A1)"	"HNRNPA1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"372"
"A0A0D9QZW0"	"A0A0D9QZW0_CHLSB"	"unreviewed"	"Tripartite motif containing 25"	"TRIM25"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"630"
"A0A0D9QYM3"	"A0A0D9QYM3_CHLSB"	"unreviewed"	"Cleavage and polyadenylation specificity factor subunit 5"	"NUDT21"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"227"
"A0A0D9QY94"	"A0A0D9QY94_CHLSB"	"unreviewed"	"L-lactate dehydrogenase (EC 1.1.1.27)"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"356"
"A0A0D9QYX8"	"A0A0D9QYX8_CHLSB"	"unreviewed"	"Uncharacterized protein"	"PAX6"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"436"
"A0A0D9QYV5"	"A0A0D9QYV5_CHLSB"	"unreviewed"	"SURP and G-patch domain containing 2"	"SUGP2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1084"
"A0A0D9QZ24"	"A0A0D9QZ24_CHLSB"	"unreviewed"	"SAP domain containing ribonucleoprotein"	"SARNP"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"215"
"A0A0D9QZ19"	"A0A0D9QZ19_CHLSB"	"unreviewed"	"PYM homolog 1, exon junction complex associated factor"	"PYM1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"195"
"A0A0D9QYY5"	"A0A0D9QYY5_CHLSB"	"unreviewed"	"Eukaryotic translation initiation factor 3 subunit M (eIF3m)"	"EIF3M"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"374"
"A0A0D9QY12"	"A0A0D9QY12_CHLSB"	"unreviewed"	"Serine hydroxymethyltransferase (EC 2.1.2.1)"	"SHMT2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"504"
"A0A0D9QYM1"	"A0A0D9QYM1_CHLSB"	"unreviewed"	"Septin 9"	"SEPTIN9"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"568"
"A0A0D9QYB1"	"A0A0D9QYB1_CHLSB"	"unreviewed"	"ATP synthase subunit beta (EC 7.1.2.2)"	"ATP5F1B"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"529"
"A0A0D9QYM4"	"A0A0D9QYM4_CHLSB"	"unreviewed"	"Heterogeneous nuclear ribonucleoproteins A2/B1"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"297"
"A0A0D9QY22"	"A0A0D9QY22_CHLSB"	"unreviewed"	"Copine 2"	"CPNE2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"548"
"A0A0D9QZI9"	"A0A0D9QZI9_CHLSB"	"unreviewed"	"60S ribosomal protein L18a"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"176"
"A0A0D9QZV2"	"A0A0D9QZV2_CHLSB"	"unreviewed"	"IF rod domain-containing protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"352"
"A0A0D9QZ46"	"A0A0D9QZ46_CHLSB"	"unreviewed"	"Ataxin-10"	"ATXN10"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"475"
"A0A0D9QZK8"	"A0A0D9QZK8_CHLSB"	"unreviewed"	"Uncharacterized protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"366"
"A0A0D9QZT6"	"A0A0D9QZT6_CHLSB"	"unreviewed"	"Eukaryotic translation initiation factor 4B"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"611"
"A0A0D9QZM2"	"A0A0D9QZM2_CHLSB"	"unreviewed"	"Microtubule associated protein 1S"	"MAP1S"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1063"
"A0A0D9QYA3"	"A0A0D9QYA3_CHLSB"	"unreviewed"	"NAC-A/B domain-containing protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"136"
"A0A0D9QYJ1"	"A0A0D9QYJ1_CHLSB"	"unreviewed"	"Serine/arginine-rich splicing factor 2 (Splicing component, 35 kDa) (Splicing factor SC35) (Splicing factor, arginine/serine-rich 2)"	"SRSF2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"221"
"A0A0D9QZ04"	"A0A0D9QZ04_CHLSB"	"unreviewed"	"Cyclin dependent kinase 2"	"CDK2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"298"
"A0A0D9QZR7"	"A0A0D9QZR7_CHLSB"	"unreviewed"	"Uncharacterized protein"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"412"
"A0A0D9QXW3"	"A0A0D9QXW3_CHLSB"	"unreviewed"	"WW domain binding protein 2"	"WBP2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"261"
"A0A0D9QYU5"	"A0A0D9QYU5_CHLSB"	"unreviewed"	"Myosin light chain 6B"	"MYL6B"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"209"
"A0A0D9QZD3"	"A0A0D9QZD3_CHLSB"	"unreviewed"	"Leucine rich repeat containing 59"	"LRRC59"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"307"
"A0A0D9QYF8"	"A0A0D9QYF8_CHLSB"	"unreviewed"	"RNA binding motif single stranded interacting protein 2"	"RBMS2"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"407"
"A0A0D9QY64"	"A0A0D9QY64_CHLSB"	"unreviewed"	"Signal recognition particle subunit SRP68 (SRP68)"	"SRP68"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"620"
"A0A0D9QY57"	"A0A0D9QY57_CHLSB"	"unreviewed"	"FIP1-like 1 protein (Pre-mRNA 3'-end-processing factor FIP1)"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"603"
"A0A0D9QYR5"	"A0A0D9QYR5_CHLSB"	"unreviewed"	"Citrate synthase"	"CS"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"466"
