"Entry"	"Entry.name"	"Status"	"Protein.names"	"Gene.names"	"Organism"	"Length"
"O00499"	"BIN1_HUMAN"	"reviewed"	"Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1)"	"BIN1 AMPHL"	"Homo sapiens (Human)"	"593"
"O00154"	"BACH_HUMAN"	"reviewed"	"Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)"	"ACOT7 BACH"	"Homo sapiens (Human)"	"380"
"O00442"	"RTCA_HUMAN"	"reviewed"	"RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1)"	"RTCA RPC RPC1 RTC1 RTCD1"	"Homo sapiens (Human)"	"366"
"P62308"	"RUXG_HUMAN"	"reviewed"	"Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)"	"SNRPG PBSCG"	"Homo sapiens (Human)"	"76"
"A6NHL2"	"TBAL3_HUMAN"	"reviewed"	"Tubulin alpha chain-like 3"	"TUBAL3"	"Homo sapiens (Human)"	"446"
"O00629"	"IMA3_HUMAN"	"reviewed"	"Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)"	"KPNA4 QIP1"	"Homo sapiens (Human)"	"521"
"A6NJ78"	"MET15_HUMAN"	"reviewed"	"12S rRNA N4-methylcytidine (m4C) methyltransferase (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)"	"METTL15 METT5D1"	"Homo sapiens (Human)"	"407"
"O00763"	"ACACB_HUMAN"	"reviewed"	"Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)"	"ACACB ACC2 ACCB"	"Homo sapiens (Human)"	"2458"
"O00625"	"PIR_HUMAN"	"reviewed"	"Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)"	"PIR"	"Homo sapiens (Human)"	"290"
"O00410"	"IPO5_HUMAN"	"reviewed"	"Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)"	"IPO5 KPNB3 RANBP5"	"Homo sapiens (Human)"	"1097"
"O00425"	"IF2B3_HUMAN"	"reviewed"	"Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)"	"IGF2BP3 IMP3 KOC1 VICKZ3"	"Homo sapiens (Human)"	"579"
"O00592"	"PODXL_HUMAN"	"reviewed"	"Podocalyxin (GCTM-2 antigen) (Gp200) (Podocalyxin-like protein 1) (PC) (PCLP-1)"	"PODXL PCLP PCLP1"	"Homo sapiens (Human)"	"558"
"O00743"	"PPP6_HUMAN"	"reviewed"	"Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]"	"PPP6C PPP6"	"Homo sapiens (Human)"	"305"
"O00264"	"PGRC1_HUMAN"	"reviewed"	"Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)"	"PGRMC1 HPR6.6 PGRMC"	"Homo sapiens (Human)"	"195"
"O00151"	"PDLI1_HUMAN"	"reviewed"	"PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)"	"PDLIM1 CLIM1 CLP36"	"Homo sapiens (Human)"	"329"
"E9PAV3"	"NACAM_HUMAN"	"reviewed"	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)"	"NACA"	"Homo sapiens (Human)"	"2078"
"A6NDG6"	"PGP_HUMAN"	"reviewed"	"Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)"	"PGP"	"Homo sapiens (Human)"	"321"
"O00505"	"IMA4_HUMAN"	"reviewed"	"Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)"	"KPNA3 QIP2"	"Homo sapiens (Human)"	"521"
"A1L020"	"MEX3A_HUMAN"	"reviewed"	"RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4)"	"MEX3A RKHD4"	"Homo sapiens (Human)"	"520"
"P01767"	"HV353_HUMAN"	"reviewed"	"Immunoglobulin heavy variable 3-53 (Ig heavy chain V-III region BUT)"	"IGHV3-53"	"Homo sapiens (Human)"	"116"
"O00178"	"GTPB1_HUMAN"	"reviewed"	"GTP-binding protein 1 (G-protein 1) (GP-1) (GP1)"	"GTPBP1"	"Homo sapiens (Human)"	"669"
"O00217"	"NDUS8_HUMAN"	"reviewed"	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)"	"NDUFS8"	"Homo sapiens (Human)"	"210"
"P10124"	"SRGN_HUMAN"	"reviewed"	"Serglycin (Hematopoietic proteoglycan core protein) (Platelet proteoglycan core protein) (P.PG) (Secretory granule proteoglycan core protein)"	"SRGN PRG PRG1"	"Homo sapiens (Human)"	"158"
"O00487"	"PSDE_HUMAN"	"reviewed"	"26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)"	"PSMD14 POH1"	"Homo sapiens (Human)"	"310"
"O00231"	"PSD11_HUMAN"	"reviewed"	"26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)"	"PSMD11"	"Homo sapiens (Human)"	"422"
"O00232"	"PSD12_HUMAN"	"reviewed"	"26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)"	"PSMD12"	"Homo sapiens (Human)"	"456"
"A0AV96"	"RBM47_HUMAN"	"reviewed"	"RNA-binding protein 47 (RNA-binding motif protein 47)"	"RBM47"	"Homo sapiens (Human)"	"593"
"Q8NG57"	"ELOA3_HUMAN"	"reviewed"	"Elongin-A3 (EloA3) (RNA polymerase II transcription factor SIII subunit A3) (Transcription elongation factor B polypeptide 3C)"	"ELOA3 TCEB3C TCEB3L2"	"Homo sapiens (Human)"	"546"
"P0DPI2"	"GAL3A_HUMAN"	"reviewed"	"Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial"	"GATD3A C21orf33"	"Homo sapiens (Human)"	"268"
"O00139"	"KIF2A_HUMAN"	"reviewed"	"Kinesin-like protein KIF2A (Kinesin-2) (hK2)"	"KIF2A KIF2 KNS2"	"Homo sapiens (Human)"	"706"
"O00273"	"DFFA_HUMAN"	"reviewed"	"DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)"	"DFFA DFF1 DFF45 H13"	"Homo sapiens (Human)"	"331"
"P47813"	"IF1AX_HUMAN"	"reviewed"	"Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)"	"EIF1AX EIF1A EIF4C"	"Homo sapiens (Human)"	"144"
"A8K2U0"	"A2ML1_HUMAN"	"reviewed"	"Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)"	"A2ML1 CPAMD9"	"Homo sapiens (Human)"	"1454"
"O00429"	"DNM1L_HUMAN"	"reviewed"	"Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)"	"DNM1L DLP1 DRP1"	"Homo sapiens (Human)"	"736"
"O00571"	"DDX3X_HUMAN"	"reviewed"	"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)"	"DDX3X DBX DDX3"	"Homo sapiens (Human)"	"662"
"O00303"	"EIF3F_HUMAN"	"reviewed"	"Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)"	"EIF3F EIF3S5"	"Homo sapiens (Human)"	"357"
"O00170"	"AIP_HUMAN"	"reviewed"	"AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)"	"AIP XAP2"	"Homo sapiens (Human)"	"330"
"O15145"	"ARPC3_HUMAN"	"reviewed"	"Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)"	"ARPC3 ARC21"	"Homo sapiens (Human)"	"178"
"O15144"	"ARPC2_HUMAN"	"reviewed"	"Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)"	"ARPC2 ARC34 PRO2446"	"Homo sapiens (Human)"	"300"
"O14980"	"XPO1_HUMAN"	"reviewed"	"Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)"	"XPO1 CRM1"	"Homo sapiens (Human)"	"1071"
"O15269"	"SPTC1_HUMAN"	"reviewed"	"Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1)"	"SPTLC1 LCB1"	"Homo sapiens (Human)"	"473"
"O15400"	"STX7_HUMAN"	"reviewed"	"Syntaxin-7"	"STX7"	"Homo sapiens (Human)"	"261"
"O43399"	"TPD54_HUMAN"	"reviewed"	"Tumor protein D54 (hD54) (Tumor protein D52-like 2)"	"TPD52L2"	"Homo sapiens (Human)"	"206"
"O14787"	"TNPO2_HUMAN"	"reviewed"	"Transportin-2 (Karyopherin beta-2b)"	"TNPO2"	"Homo sapiens (Human)"	"897"
"O43175"	"SERA_HUMAN"	"reviewed"	"D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)"	"PHGDH PGDH3"	"Homo sapiens (Human)"	"533"
"O15042"	"SR140_HUMAN"	"reviewed"	"U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140)"	"U2SURP KIAA0332 SR140"	"Homo sapiens (Human)"	"1029"
"O43592"	"XPOT_HUMAN"	"reviewed"	"Exportin-T (Exportin(tRNA)) (tRNA exportin)"	"XPOT"	"Homo sapiens (Human)"	"962"
"O43396"	"TXNL1_HUMAN"	"reviewed"	"Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein)"	"TXNL1 TRP32 TXL TXNL"	"Homo sapiens (Human)"	"289"
"O14933"	"UB2L6_HUMAN"	"reviewed"	"Ubiquitin/ISG15-conjugating enzyme E2 L6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L6) (Retinoic acid-induced gene B protein) (RIG-B) (UbcH8) (Ubiquitin carrier protein L6) (Ubiquitin-protein ligase L6)"	"UBE2L6 UBCH8"	"Homo sapiens (Human)"	"153"
"O15372"	"EIF3H_HUMAN"	"reviewed"	"Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)"	"EIF3H EIF3S3"	"Homo sapiens (Human)"	"352"
"O15143"	"ARC1B_HUMAN"	"reviewed"	"Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)"	"ARPC1B ARC41"	"Homo sapiens (Human)"	"372"
"O43615"	"TIM44_HUMAN"	"reviewed"	"Mitochondrial import inner membrane translocase subunit TIM44"	"TIMM44 MIMT44 TIM44"	"Homo sapiens (Human)"	"452"
"O15050"	"TRNK1_HUMAN"	"reviewed"	"TPR and ankyrin repeat-containing protein 1 (Lupus brain antigen 1 homolog)"	"TRANK1 KIAA0342 LBA1"	"Homo sapiens (Human)"	"2925"
"O43290"	"SNUT1_HUMAN"	"reviewed"	"U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)"	"SART1"	"Homo sapiens (Human)"	"800"
"O43361"	"ZN749_HUMAN"	"reviewed"	"Zinc finger protein 749"	"ZNF749"	"Homo sapiens (Human)"	"778"
"O15382"	"BCAT2_HUMAN"	"reviewed"	"Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT(m)) (EC 2.6.1.42) (Placental protein 18) (PP18)"	"BCAT2 BCATM BCT2 ECA40"	"Homo sapiens (Human)"	"392"
"O15078"	"CE290_HUMAN"	"reviewed"	"Centrosomal protein of 290 kDa (Cep290) (Bardet-Biedl syndrome 14 protein) (Cancer/testis antigen 87) (CT87) (Nephrocystin-6) (Tumor antigen se2-2)"	"CEP290 BBS14 KIAA0373 NPHP6"	"Homo sapiens (Human)"	"2479"
"O14983"	"AT2A1_HUMAN"	"reviewed"	"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 7.2.2.10) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)"	"ATP2A1"	"Homo sapiens (Human)"	"1001"
"O14818"	"PSA7_HUMAN"	"reviewed"	"Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)"	"PSMA7 HSPC"	"Homo sapiens (Human)"	"248"
"O43347"	"MSI1H_HUMAN"	"reviewed"	"RNA-binding protein Musashi homolog 1 (Musashi-1)"	"MSI1"	"Homo sapiens (Human)"	"362"
"O15067"	"PUR4_HUMAN"	"reviewed"	"Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)"	"PFAS KIAA0361"	"Homo sapiens (Human)"	"1338"
"O14745"	"NHRF1_HUMAN"	"reviewed"	"Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)"	"SLC9A3R1 NHERF NHERF1"	"Homo sapiens (Human)"	"358"
"O15091"	"MRPP3_HUMAN"	"reviewed"	"Mitochondrial ribonuclease P catalytic subunit (EC 3.1.26.5) (Mitochondrial ribonuclease P protein 3) (Mitochondrial RNase P protein 3) (Protein only RNase P catalytic subunit)"	"PRORP KIAA0391 MRPP3"	"Homo sapiens (Human)"	"583"
"O14979"	"HNRDL_HUMAN"	"reviewed"	"Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)"	"HNRNPDL HNRPDL JKTBP"	"Homo sapiens (Human)"	"420"
"O43242"	"PSMD3_HUMAN"	"reviewed"	"26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)"	"PSMD3"	"Homo sapiens (Human)"	"534"
"P19105"	"ML12A_HUMAN"	"reviewed"	"Myosin regulatory light chain 12A (Epididymis secretory protein Li 24) (HEL-S-24) (MLC-2B) (Myosin RLC) (Myosin regulatory light chain 2, nonsarcomeric) (Myosin regulatory light chain MRLC3)"	"MYL12A MLCB MRLC3 RLC"	"Homo sapiens (Human)"	"171"
"O43251"	"RFOX2_HUMAN"	"reviewed"	"RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (Hexaribonucleotide-binding protein 2) (RNA-binding motif protein 9) (RNA-binding protein 9) (Repressor of tamoxifen transcriptional activity)"	"RBFOX2 FOX2 HRNBP2 RBM9 RTA"	"Homo sapiens (Human)"	"390"
"O43252"	"PAPS1_HUMAN"	"reviewed"	"Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]"	"PAPSS1 ATPSK1 PAPSS"	"Homo sapiens (Human)"	"624"
"O15260"	"SURF4_HUMAN"	"reviewed"	"Surfeit locus protein 4"	"SURF4 SURF-4"	"Homo sapiens (Human)"	"269"
"O15355"	"PPM1G_HUMAN"	"reviewed"	"Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma)"	"PPM1G PPM1C"	"Homo sapiens (Human)"	"546"
"O14732"	"IMPA2_HUMAN"	"reviewed"	"Inositol monophosphatase 2 (IMP 2) (IMPase 2) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2)"	"IMPA2 IMP.18P"	"Homo sapiens (Human)"	"288"
"O43324"	"MCA3_HUMAN"	"reviewed"	"Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18)"	"EEF1E1 AIMP3 P18"	"Homo sapiens (Human)"	"174"
"O14874"	"BCKD_HUMAN"	"reviewed"	"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)"	"BCKDK"	"Homo sapiens (Human)"	"412"
"O43148"	"MCES_HUMAN"	"reviewed"	"mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7)-)-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p)"	"RNMT KIAA0398"	"Homo sapiens (Human)"	"476"
"O43488"	"ARK72_HUMAN"	"reviewed"	"Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase)"	"AKR7A2 AFAR AFAR1 AKR7"	"Homo sapiens (Human)"	"359"
"O43172"	"PRP4_HUMAN"	"reviewed"	"U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)"	"PRPF4 PRP4"	"Homo sapiens (Human)"	"522"
"P10163"	"PRB4_HUMAN"	"reviewed"	"Basic salivary proline-rich protein 4 (Salivary proline-rich protein Po) (Parotid o protein) (Salivary proline-rich protein II-1) [Cleaved into: Protein N1; Glycosylated protein A; Peptide P-D (Proline-rich peptide IB-5)]"	"PRB4"	"Homo sapiens (Human)"	"310"
"O14776"	"TCRG1_HUMAN"	"reviewed"	"Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)"	"TCERG1 CA150 TAF2S"	"Homo sapiens (Human)"	"1098"
"O15479"	"MAGB2_HUMAN"	"reviewed"	"Melanoma-associated antigen B2 (Cancer/testis antigen 3.2) (CT3.2) (DSS-AHC critical interval MAGE superfamily 6) (DAM6) (MAGE XP-2 antigen) (MAGE-B2 antigen)"	"MAGEB2"	"Homo sapiens (Human)"	"319"
"O15371"	"EIF3D_HUMAN"	"reviewed"	"Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)"	"EIF3D EIF3S7"	"Homo sapiens (Human)"	"548"
"O14929"	"HAT1_HUMAN"	"reviewed"	"Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)"	"HAT1 KAT1"	"Homo sapiens (Human)"	"419"
"O43432"	"IF4G3_HUMAN"	"reviewed"	"Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII)"	"EIF4G3"	"Homo sapiens (Human)"	"1585"
"O43143"	"DHX15_HUMAN"	"reviewed"	"Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)"	"DHX15 DBP1 DDX15"	"Homo sapiens (Human)"	"795"
"O14976"	"GAK_HUMAN"	"reviewed"	"Cyclin-G-associated kinase (EC 2.7.11.1)"	"GAK"	"Homo sapiens (Human)"	"1311"
"O14908"	"GIPC1_HUMAN"	"reviewed"	"PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2)"	"GIPC1 C19orf3 GIPC RGS19IP1"	"Homo sapiens (Human)"	"333"
"O43390"	"HNRPR_HUMAN"	"reviewed"	"Heterogeneous nuclear ribonucleoprotein R (hnRNP R)"	"HNRNPR HNRPR"	"Homo sapiens (Human)"	"633"
"O43583"	"DENR_HUMAN"	"reviewed"	"Density-regulated protein (DRP) (Protein DRP1) (Smooth muscle cell-associated protein 3) (SMAP-3)"	"DENR DRP1 H14"	"Homo sapiens (Human)"	"198"
"O43169"	"CYB5B_HUMAN"	"reviewed"	"Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform)"	"CYB5B CYB5M OMB5"	"Homo sapiens (Human)"	"150"
"O75131"	"CPNE3_HUMAN"	"reviewed"	"Copine-3 (Copine III)"	"CPNE3 CPN3 KIAA0636"	"Homo sapiens (Human)"	"537"
"O60218"	"AK1BA_HUMAN"	"reviewed"	"Aldo-keto reductase family 1 member B10 (EC 1.1.1.300) (EC 1.1.1.54) (ARL-1) (Aldose reductase-like) (Aldose reductase-related protein) (ARP) (hARP) (Small intestine reductase) (SI reductase)"	"AKR1B10 AKR1B11"	"Homo sapiens (Human)"	"316"
"O43709"	"BUD23_HUMAN"	"reviewed"	"Probable 18S rRNA (guanine-N(7))-methyltransferase (EC 2.1.1.-) (Bud site selection protein 23 homolog) (Metastasis-related methyltransferase 1) (Williams-Beuren syndrome chromosomal region 22 protein) (rRNA methyltransferase and ribosome maturation factor)"	"BUD23 MERM1 WBSCR22 HUSSY-03 PP3381"	"Homo sapiens (Human)"	"281"
"O43670"	"ZN207_HUMAN"	"reviewed"	"BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)"	"ZNF207 BUGZ"	"Homo sapiens (Human)"	"478"
"O75152"	"ZC11A_HUMAN"	"reviewed"	"Zinc finger CCCH domain-containing protein 11A"	"ZC3H11A KIAA0663 ZC3HDC11A"	"Homo sapiens (Human)"	"810"
"O60701"	"UGDH_HUMAN"	"reviewed"	"UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)"	"UGDH"	"Homo sapiens (Human)"	"494"
